TABLE_NAME,COLUMN_NAME,DATA_TYPE
delivery,delivery_id,int
delivery,driver_id,int
delivery,vehicle_id,int
delivery,delivery_time,datetime
driver,driver_id,int
driver,student_id,int
driver,license_number,varchar
driver,date_hired,date
driver,rating,float
faculty,faculty_id,int
faculty,person_id,int
faculty,title,varchar
faculty,degree_college,varchar
faculty,highest_degree,varchar
location,location_id,int
location,location_name,varchar
location,location_address,varchar
location,latitude,varchar
location,longitude,varchar
location,drop_off_point,varchar
menu_item,menu_id,int
menu_item,name,varchar
menu_item,description,varchar
menu_item,price,float
menu_item,restaurant_id,int
order,order_id,int
order,person_id,int
order,delivery_id,int
order,location_id,int
order,driver_id,int
order,restaurant_id,int
order,total_price,float
order,delivery_charge,float
orders_menu,order_id,int
orders_menu,restaurant_id,int
orders_menu,person_id,int
orders_menu,menu_id,int
person,person_id,int
person,person_name,varchar
person,person_email,varchar
person,cell,bigint
person_join,person_id,int
person_join,person_name,varchar
person_join,person_email,varchar
person_join,student_id,int
person_join,graduation_year,int
person_student,person_id,int
person_student,person_name,varchar
person_student,person_email,varchar
person_student,cell,bigint
rating,rating_id,int
rating,order_id,int
rating,comments,varchar
rating,rating_food,int
rating,rating_delivery,int
rating,delivery_id,int
rating,image,blob
rest_menu,restaurant_id,int
rest_menu,count,int
restaurant,restaurant_id,int
restaurant,location,varchar
restaurant,restaurant_name,varchar
restaurant,schedule,varchar
restaurant,website,varchar
staff,staff_id,int
staff,person_id,int
staff,position,varchar
staff,is_admin,varchar
student,student_id,int
student,person_id,int
student,graduation_year,int
student,major,varchar
student,type,varchar
vehicle,vehicle_id,int
vehicle,vehicle_plate,varchar
vehicle,model,varchar
vehicle,make,varchar
